Unidad,Litros,Gasto Combustible,Costo por litro,Kms Totales,Gasto Mantenimiento,CPK,Total Peajes,Eficiencia (km/l),TipoUnidad,Ruta Frecuente,Ruta
1920,812404.0,8652102.6,10.65,434430,15177.65,19.95092477499252,0.0,0.5347462592503237,Poca actividad,"SAN MATEO ATENCO,EM → CUAUTITLAN IZCALLI,EM","SAN MATEO ATENCO,EM → CUAUTITLAN IZCALLI,EM"
1921,1097542.16,11214650.10016,10.209277108433735,3042282,86742.74,3.7147749091504343,0.0,2.7719044523993506,Actividad media,"CUAUTITLAN IZCALLI,EM/Mex → LEON,GJ","CUAUTITLAN IZCALLI,EM/Mex → LEON,GJ"
1922,109270.5,1187142.795,10.755,109728,900.0,10.827161663385827,0.0,1.0041868573860282,Poca actividad,"CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM","CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM"
1923,2387220.0,25423893.0,10.65,2055924,18303.93,12.37506684585617,0.0,0.8612210018347701,Actividad media,"CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM","CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM"
1924,1131.22,11300.8878,9.99,1700,6844.08,10.673510470588234,0.0,1.502802284259472,Poca actividad,"CUAUTITLAN IZCALLI,EM → QUERETARO,QA","CUAUTITLAN IZCALLI,EM → QUERETARO,QA"
1925,20138.96,211595.09040000002,10.53,35629,2019.93,5.995537915742794,0.0,1.7691578909735162,Poca actividad,"CUAUTITLAN IZCALLI,EM → QUERETARO,QA","CUAUTITLAN IZCALLI,EM → QUERETARO,QA"
1926,240806.0,2564583.9,10.65,384885,18559.54,6.711468204788443,0.0,1.598319809307077,Poca actividad,"TLALNEPANTLA,EM → QUERETARO,QA","TLALNEPANTLA,EM → QUERETARO,QA"
1927,63152.0,671196.0,10.611176470588235,115872,13543.91,5.909451032173433,0.0,1.8348112490499113,Poca actividad,"CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM","CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM"
1928,2527527.24,26872615.0476,10.631666666666666,2167632,200.0,12.397314233965913,0.0,0.8576097482533956,Actividad media,"CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM","CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM"
1930,110441.8,1141821.7748,10.34125,400256,40823.63,2.9547224896066515,0.0,3.6241350648033626,Poca actividad,"CUAUTITLAN,EM → GUADALAJARA,JA","CUAUTITLAN,EM → GUADALAJARA,JA"
